plasmid	contig	contig_len

GT_2	28	65609
GT_2	54	15112
GT_2	80	1341
GT_2	86	1165
GT_2	113	428
GT_2	123	363
GT_2	129	332
GT_2	131	328
GT_2	136	314
GT_2	137	313
GT_2	148	270
GT_2	152	259
GT_2	174	182
GT_2	207	127
GT_2	214	116
GT_2	216	115
GT_2	217	114
GT_2	218	113
GT_2	220	100
GT_2	223	92
GT_2	238	65
GT_2	242	64
GT_2	244	63
GT_2	246	62
GT_2	247	61
GT_2	248	61
GT_2	249	61
GT_2	257	43
GT_2	258	43

GT_3	43	29516
GT_3	67	5419
GT_3	82	1310
GT_3	129	332
GT_3	152	259
GT_3	174	182
GT_3	216	115
GT_3	217	114
GT_3	218	113
GT_3	223	92
GT_3	243	63
GT_3	246	62
GT_3	247	61
GT_3	248	61
GT_3	249	61

GT_4	66	5569

GT_5	77	2089

