contig	chromosome	plasmid
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	0	0
19	1	0
20	1	0
21	0	1
22	1	0
23	1	0
24	0	0
25	1	0
26	0	0
27	0	0
28	1	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	1	0
35	1	0
36	0	0
37	1	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	1	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
63	0	0
65	0	0
67	0	0
70	0	0
74	0	0
75	0	0
76	0	0
77	0	0
79	0	0
80	0	0
83	0	0
87	0	0
88	0	0
89	0	0
90	0	0
92	0	0
96	0	0
97	0	0
98	0	0
99	0	0
103	0	0
115	0	0
117	0	0
119	0	0
122	0	0
123	0	0
