chromosome	contig	contig_len
CH_1	1	549956
CH_1	2	292010
CH_1	3	268584
CH_1	4	243638
CH_1	5	228662
CH_1	6	172788
CH_1	7	156283
CH_1	8	155452
CH_1	9	147297
CH_1	10	137704
CH_1	11	134577
CH_1	12	126965
CH_1	13	119298
CH_1	14	108257
CH_1	15	107136
CH_1	16	105392
CH_1	17	105186
CH_1	18	94757
CH_1	19	94646
CH_1	20	92485
CH_1	21	90649
CH_1	22	89254
CH_1	23	88137
CH_1	24	82341
CH_1	25	79210
CH_1	26	75647
CH_1	28	71394
CH_1	29	70526
CH_1	31	61452
CH_1	32	59876
CH_1	33	48069
CH_1	34	47129
CH_1	35	45251
CH_1	36	42348
CH_1	37	41317
CH_1	38	41172
CH_1	39	40282
CH_1	40	35787
CH_1	41	35361
CH_1	42	35140
CH_1	43	33029
CH_1	44	30733
CH_1	45	26604
CH_1	46	24937
CH_1	47	21489
CH_1	48	19902
CH_1	49	18690
CH_1	50	18681
CH_1	51	18097
CH_1	54	13590
CH_1	55	13492
CH_1	56	11238
CH_1	58	8400
CH_1	59	8369
CH_1	60	8134
CH_1	61	6471
CH_1	62	6315
CH_1	63	5989
CH_1	64	5285
CH_1	65	4903
CH_1	66	4864
CH_1	67	4786
CH_1	68	4731
CH_1	69	4721
CH_1	70	4316
CH_1	71	4113
CH_1	72	3866
CH_1	73	3703
CH_1	75	3653
CH_1	76	3618
CH_1	77	3415
CH_1	78	3266
CH_1	79	3144
CH_1	80	2871
CH_1	81	2825
CH_1	82	2468
CH_1	85	2178
CH_1	87	1741
CH_1	88	1671
CH_1	89	1607
CH_1	90	1482
CH_1	91	1463
CH_1	92	1393
CH_1	93	1385
CH_1	94	1343
CH_1	95	1325
CH_1	96	1290
CH_1	97	1243
CH_1	98	1232
CH_1	99	1204
CH_1	100	1095
CH_1	101	1067
CH_1	102	1052
CH_1	103	1013
CH_1	104	996
CH_1	105	975
CH_1	106	975
CH_1	107	975
CH_1	108	950
CH_1	109	946
CH_1	110	940
CH_1	111	929
CH_1	112	929
CH_1	113	923
CH_1	114	902
CH_1	115	896
CH_1	116	880
CH_1	117	872
CH_1	118	865
CH_1	119	863
CH_1	120	859
CH_1	121	848
CH_1	122	810
CH_1	123	791
CH_1	125	755
CH_1	126	748
CH_1	127	723
CH_1	128	721
CH_1	129	697
CH_1	130	691
CH_1	131	690
CH_1	132	679
CH_1	133	673
CH_1	134	671
CH_1	135	667
CH_1	137	662
CH_1	138	660
CH_1	139	658
CH_1	140	650
CH_1	141	641
CH_1	143	618
CH_1	144	614
CH_1	145	614
CH_1	146	604
CH_1	147	602
CH_1	148	601
CH_1	149	592
CH_1	150	582
CH_1	151	571
CH_1	152	571
CH_1	153	569
CH_1	154	566
CH_1	155	565
CH_1	156	565
CH_1	157	560
CH_1	158	559
CH_1	159	556
CH_1	160	554
CH_1	161	536
CH_1	162	530
CH_1	163	527
CH_1	164	527
CH_1	165	525
CH_1	166	512
CH_1	167	505
CH_1	168	499
CH_1	169	497
CH_1	170	487
CH_1	171	476
CH_1	172	474
CH_1	173	469
CH_1	174	462
CH_1	175	456
CH_1	176	453
CH_1	177	452
CH_1	178	450
CH_1	179	450
CH_1	180	443
CH_1	181	439
CH_1	182	436
CH_1	183	436
CH_1	184	432
CH_1	185	430
CH_1	186	428
CH_1	187	424
CH_1	188	423
CH_1	189	419
CH_1	190	402
CH_1	191	398
CH_1	192	397
CH_1	193	394
CH_1	194	390
CH_1	195	387
CH_1	196	387
CH_1	197	385
CH_1	198	379
CH_1	199	378
CH_1	200	371
CH_1	201	370
