chromosome	contig	contig_len
CH_1	1	628097
CH_1	2	375823
CH_1	3	279739
CH_1	4	244343
CH_1	5	214351
CH_1	6	197388
CH_1	7	188868
CH_1	8	181613
CH_1	9	171192
CH_1	10	157907
CH_1	11	148605
CH_1	12	144131
CH_1	13	130562
CH_1	14	129332
CH_1	15	111397
CH_1	16	105371
CH_1	17	97784
CH_1	18	87476
CH_1	19	81750
CH_1	20	69943
CH_1	21	69530
CH_1	22	66061
CH_1	23	61703
CH_1	24	60468
CH_1	25	57541
CH_1	27	50277
CH_1	28	43587
CH_1	29	43229
CH_1	30	42101
CH_1	31	42068
CH_1	32	41308
CH_1	33	36208
CH_1	34	32094
CH_1	35	30171
CH_1	36	27834
CH_1	37	26784
CH_1	38	26703
CH_1	39	26221
CH_1	40	25955
CH_1	41	22561
CH_1	42	19533
CH_1	43	18879
CH_1	44	18417
CH_1	45	18009
CH_1	46	17491
CH_1	47	16648
CH_1	48	16284
CH_1	50	14743
CH_1	51	14575
CH_1	53	14055
CH_1	54	12609
CH_1	55	11882
CH_1	56	11499
CH_1	57	10571
CH_1	59	8986
CH_1	60	7487
CH_1	62	6610
CH_1	64	6445
CH_1	67	5509
CH_1	69	4913
CH_1	70	4213
CH_1	71	4008
CH_1	72	3871
CH_1	73	3843
CH_1	74	3746
CH_1	75	3444
CH_1	76	3031
CH_1	77	3006
CH_1	78	2977
CH_1	79	2832
CH_1	81	2690
CH_1	82	2682
CH_1	83	2650
CH_1	84	2639
CH_1	85	2495
CH_1	86	2454
CH_1	87	2441
CH_1	90	2305
CH_1	92	2082
CH_1	95	1811
CH_1	96	1728
CH_1	97	1723
CH_1	98	1695
CH_1	99	1633
CH_1	100	1559
CH_1	102	1520
CH_1	104	1403
CH_1	105	1384
CH_1	106	1321
CH_1	107	1238
CH_1	108	1140
CH_1	109	1140
CH_1	110	1093
CH_1	111	1077
CH_1	112	1053
CH_1	113	981
CH_1	114	975
CH_1	115	973
CH_1	116	973
CH_1	117	945
CH_1	118	841
CH_1	119	780
CH_1	120	752
CH_1	121	746
CH_1	122	746
CH_1	123	746
CH_1	124	743
CH_1	125	735
CH_1	126	735
CH_1	127	708
CH_1	128	693
CH_1	129	586
CH_1	130	583
CH_1	131	569
CH_1	132	569
CH_1	133	558
CH_1	134	547
CH_1	135	537
CH_1	137	519
CH_1	138	519
CH_1	139	514
CH_1	140	509
CH_1	141	509
CH_1	142	504
CH_1	143	490
CH_1	144	490
CH_1	145	487
CH_1	146	466
CH_1	147	463
CH_1	148	446
CH_1	149	439
CH_1	150	433
CH_1	151	433
CH_1	152	432
CH_1	153	424
CH_1	154	409
CH_1	155	405
CH_1	156	392
CH_1	157	391
CH_1	158	388
CH_1	159	387
CH_1	160	386
CH_1	161	386
CH_1	162	385
CH_1	163	372
CH_1	164	357
CH_1	165	356
CH_1	166	349
CH_1	167	346
CH_1	168	343
CH_1	169	343
CH_1	170	340
CH_1	171	337
CH_1	172	331
CH_1	173	331
CH_1	174	329
CH_1	175	329
CH_1	176	327
CH_1	177	302
CH_1	178	300
CH_1	179	297
CH_1	180	291
CH_1	181	279
CH_1	182	276
CH_1	183	275
CH_1	184	275
CH_1	185	267
CH_1	187	260
CH_1	188	253
CH_1	189	249
CH_1	190	248
CH_1	191	242
CH_1	192	239
CH_1	193	234
CH_1	194	225
CH_1	195	224
CH_1	196	224
CH_1	197	223
CH_1	198	221
CH_1	199	221
CH_1	200	220
CH_1	201	218
CH_1	202	215
CH_1	204	212
CH_1	205	212
CH_1	206	211
