plasmid	contig	contig_len

GT_2	25	70662
GT_2	33	32506
GT_2	42	20631
GT_2	51	13017
GT_2	55	10555
GT_2	61	8761
GT_2	63	6833
GT_2	66	5793
GT_2	81	1636
GT_2	83	1353
GT_2	85	1331
GT_2	86	1312
GT_2	91	1111
GT_2	93	961
GT_2	96	937
GT_2	103	826
GT_2	110	690
GT_2	119	618
GT_2	125	561
GT_2	131	513
GT_2	132	512
GT_2	146	428
GT_2	147	424
GT_2	148	424
GT_2	149	406
GT_2	150	405
GT_2	151	381
GT_2	152	380
GT_2	166	308
GT_2	175	290
GT_2	180	284
GT_2	183	280
GT_2	191	261
GT_2	202	235
GT_2	216	203
GT_2	218	194
GT_2	219	194
GT_2	234	176
GT_2	240	161
GT_2	243	159
GT_2	246	156
GT_2	247	156
GT_2	248	155
GT_2	251	152
GT_2	258	142
GT_2	259	141
GT_2	262	138
GT_2	276	122
GT_2	278	120
GT_2	281	116
GT_2	282	115
GT_2	283	114
GT_2	289	103
GT_2	291	102
GT_2	298	83
GT_2	299	83
GT_2	300	81
GT_2	305	77
GT_2	310	70
GT_2	311	62
GT_2	312	62
GT_2	319	48
GT_2	320	48
GT_2	325	43
GT_2	330	40
GT_2	333	39
GT_2	337	35

GT_3	78	1983

