chromosome	contig	contig_len
CH_1	1	420557
CH_1	2	290906
CH_1	3	284608
CH_1	4	275138
CH_1	5	268593
CH_1	6	244479
CH_1	7	242289
CH_1	8	165785
CH_1	9	154721
CH_1	10	147297
CH_1	11	138306
CH_1	12	124240
CH_1	13	119253
CH_1	14	117157
CH_1	15	106895
CH_1	16	106650
CH_1	17	104595
CH_1	18	91214
CH_1	19	89417
CH_1	20	88131
CH_1	21	87008
CH_1	22	79247
CH_1	23	73034
CH_1	24	71774
CH_1	25	70643
CH_1	26	65869
CH_1	27	61440
CH_1	28	59876
CH_1	29	55668
CH_1	30	49026
CH_1	31	45264
CH_1	32	42996
CH_1	33	42144
CH_1	34	41495
CH_1	35	41173
CH_1	36	40428
CH_1	38	30733
CH_1	39	29024
CH_1	42	21493
CH_1	43	18684
CH_1	44	18599
CH_1	45	18533
CH_1	47	16500
CH_1	50	13017
CH_1	52	10350
CH_1	54	9246
CH_1	55	8106
CH_1	58	5939
CH_1	59	5320
CH_1	60	4113
CH_1	63	2284
CH_1	64	1550
CH_1	65	1517
CH_1	66	1343
CH_1	67	1288
CH_1	68	1283
CH_1	69	1247
CH_1	70	1012
CH_1	71	1006
CH_1	72	973
CH_1	74	940
CH_1	75	921
CH_1	76	848
CH_1	77	844
CH_1	80	819
CH_1	81	779
CH_1	82	734
CH_1	83	678
CH_1	84	658
CH_1	85	640
CH_1	86	613
CH_1	87	599
CH_1	89	585
CH_1	90	569
CH_1	91	566
CH_1	92	562
CH_1	93	556
CH_1	95	540
CH_1	96	530
CH_1	97	522
CH_1	98	522
CH_1	99	510
CH_1	100	497
CH_1	101	493
CH_1	102	486
CH_1	103	483
CH_1	104	481
CH_1	106	436
CH_1	107	436
CH_1	109	398
CH_1	110	397
CH_1	111	388
CH_1	112	387
CH_1	113	363
CH_1	114	363
CH_1	115	343
CH_1	116	333
CH_1	117	333
CH_1	118	329
CH_1	119	305
CH_1	120	303
CH_1	121	302
CH_1	122	297
CH_1	123	296
CH_1	124	296
CH_1	125	295
CH_1	126	289
CH_1	127	284
CH_1	128	282
CH_1	129	265
CH_1	130	262
CH_1	131	257
CH_1	132	254
CH_1	133	248
CH_1	134	243
CH_1	135	242
CH_1	136	241
CH_1	137	219
CH_1	138	206
CH_1	139	205
CH_1	140	203
CH_1	141	198
CH_1	142	197
CH_1	143	193
CH_1	144	190
CH_1	145	189
CH_1	146	186
CH_1	147	173
CH_1	148	172
CH_1	149	171
CH_1	150	171
CH_1	151	168
CH_1	152	168
CH_1	153	166
CH_1	154	163
CH_1	155	160
CH_1	156	159
CH_1	157	159
CH_1	158	155
CH_1	159	153
CH_1	160	151
CH_1	161	150
CH_1	162	149
CH_1	163	147
CH_1	164	145
CH_1	165	145
CH_1	166	144
CH_1	167	143
CH_1	168	143
CH_1	169	143
CH_1	170	138
CH_1	171	138
CH_1	172	138
CH_1	173	135
CH_1	174	132
CH_1	175	128
CH_1	176	128
CH_1	177	127
CH_1	178	122
CH_1	180	115
CH_1	181	114
CH_1	182	114
CH_1	183	111
CH_1	184	110
CH_1	185	109
CH_1	186	104
CH_1	187	104
CH_1	188	101
CH_1	189	98
CH_1	190	92
CH_1	191	92
CH_1	192	91
CH_1	193	91
CH_1	194	91
CH_1	195	85
CH_1	196	82
CH_1	197	81
CH_1	198	80
CH_1	199	79
CH_1	200	78
CH_1	201	75
CH_1	202	73
CH_1	203	71
CH_1	204	71
CH_1	205	70
CH_1	206	70
CH_1	207	66
CH_1	208	66
CH_1	209	64
CH_1	210	63
CH_1	211	59
CH_1	212	58
CH_1	213	58
CH_1	214	58
CH_1	215	55
CH_1	216	54
CH_1	218	52
CH_1	219	49
CH_1	220	45
CH_1	222	42
CH_1	223	42
CH_1	224	36
CH_1	225	35
CH_1	226	34
CH_1	227	33
CH_1	228	33
CH_1	229	30
