chromosome	contig	contig_len
CH_1	1	387536
CH_1	2	387486
CH_1	3	273639
CH_1	4	271198
CH_1	5	256091
CH_1	6	254891
CH_1	7	242488
CH_1	8	213637
CH_1	9	189511
CH_1	10	185513
CH_1	11	158419
CH_1	12	147635
CH_1	13	143471
CH_1	14	135204
CH_1	15	131643
CH_1	16	116369
CH_1	17	114760
CH_1	18	112132
CH_1	19	110822
CH_1	20	94719
CH_1	21	93234
CH_1	22	86223
CH_1	23	69637
CH_1	24	65054
CH_1	26	63202
CH_1	27	62943
CH_1	28	60307
CH_1	29	55651
CH_1	30	55115
CH_1	31	43524
CH_1	32	39481
CH_1	33	33108
CH_1	34	30785
CH_1	35	30676
CH_1	36	26078
CH_1	37	25164
CH_1	38	24784
CH_1	39	24557
CH_1	40	22483
CH_1	42	21275
CH_1	43	18547
CH_1	44	18486
CH_1	45	16439
CH_1	46	9486
CH_1	47	7973
CH_1	50	6731
CH_1	51	5769
CH_1	53	4831
CH_1	54	4392
CH_1	55	4247
CH_1	56	3354
CH_1	57	2806
CH_1	60	2433
CH_1	61	2293
CH_1	62	2049
CH_1	63	1682
CH_1	65	1308
CH_1	66	1287
CH_1	67	1219
CH_1	68	1183
CH_1	69	1104
CH_1	70	1102
CH_1	71	1068
CH_1	72	1057
CH_1	73	982
CH_1	74	923
CH_1	75	902
CH_1	76	885
CH_1	77	863
CH_1	78	845
CH_1	79	843
CH_1	80	728
CH_1	81	715
CH_1	82	715
CH_1	83	677
CH_1	84	661
CH_1	85	655
CH_1	86	636
CH_1	87	612
CH_1	88	595
CH_1	89	551
CH_1	90	543
CH_1	91	523
CH_1	92	518
CH_1	93	510
CH_1	94	495
CH_1	95	494
CH_1	96	483
CH_1	97	463
CH_1	98	463
CH_1	99	446
CH_1	100	424
CH_1	101	404
CH_1	102	403
CH_1	103	400
CH_1	104	395
CH_1	105	391
CH_1	106	386
CH_1	107	372
CH_1	108	367
CH_1	109	367
CH_1	110	359
CH_1	111	356
CH_1	112	355
CH_1	113	349
CH_1	114	337
CH_1	115	337
CH_1	116	335
CH_1	117	330
CH_1	119	327
CH_1	120	326
CH_1	121	322
CH_1	122	322
CH_1	123	317
CH_1	124	304
CH_1	125	303
CH_1	126	303
CH_1	128	298
CH_1	129	296
CH_1	130	288
CH_1	131	278
CH_1	132	277
CH_1	133	270
CH_1	134	268
CH_1	135	268
CH_1	136	267
CH_1	137	266
CH_1	138	262
CH_1	139	251
CH_1	140	239
CH_1	141	236
CH_1	143	232
CH_1	144	232
CH_1	145	226
CH_1	147	226
CH_1	148	214
CH_1	149	214
CH_1	150	212
CH_1	151	212
CH_1	152	209
CH_1	153	206
CH_1	154	206
CH_1	155	203
CH_1	157	202
CH_1	158	198
CH_1	159	195
CH_1	160	195
CH_1	162	193
CH_1	163	193
CH_1	165	191
CH_1	166	188
CH_1	167	185
CH_1	168	181
CH_1	169	176
CH_1	170	176
CH_1	171	176
CH_1	172	173
CH_1	173	173
CH_1	174	171
CH_1	175	170
CH_1	176	164
CH_1	177	164
CH_1	178	164
CH_1	179	162
CH_1	180	162
CH_1	181	160
CH_1	183	156
CH_1	184	156
CH_1	186	152
CH_1	187	152
CH_1	188	151
CH_1	190	150
CH_1	191	149
CH_1	192	146
CH_1	193	146
CH_1	194	146
CH_1	195	144
CH_1	196	143
CH_1	198	142
CH_1	199	142
CH_1	200	142
CH_1	201	140
CH_1	202	140
CH_1	203	140
CH_1	204	140
CH_1	205	139
CH_1	206	138
CH_1	207	137
CH_1	208	136
CH_1	209	132
CH_1	210	132
CH_1	211	132
CH_1	212	131
CH_1	213	130
CH_1	214	129
CH_1	215	128
CH_1	216	128
CH_1	217	128
CH_1	218	128
CH_1	219	124
CH_1	221	120
CH_1	222	119
CH_1	223	118
CH_1	224	118
CH_1	225	115
CH_1	227	114
CH_1	228	113
CH_1	229	112
CH_1	230	110
CH_1	231	110
CH_1	232	109
CH_1	233	109
CH_1	234	107
CH_1	235	105
CH_1	236	99
CH_1	237	97
CH_1	239	95
CH_1	240	93
CH_1	241	92
CH_1	243	90
CH_1	244	88
CH_1	245	81
CH_1	246	80
CH_1	248	80
CH_1	249	79
CH_1	251	76
CH_1	253	76
CH_1	254	74
CH_1	255	73
CH_1	256	69
CH_1	257	69
CH_1	258	68
CH_1	260	68
CH_1	261	68
CH_1	262	66
CH_1	263	59
CH_1	264	58
CH_1	265	58
CH_1	266	56
CH_1	268	51
CH_1	269	51
CH_1	270	50
CH_1	271	50
CH_1	272	49
CH_1	273	49
CH_1	274	47
CH_1	275	46
CH_1	277	46
CH_1	278	45
CH_1	279	41
CH_1	280	40
CH_1	282	37
CH_1	284	37
CH_1	285	37
CH_1	286	37
CH_1	287	36
CH_1	290	31
