chromosome	contig	contig_len
CH_1	1	390908
CH_1	2	362777
CH_1	3	341626
CH_1	4	302937
CH_1	5	230830
CH_1	6	226101
CH_1	7	221086
CH_1	8	214512
CH_1	9	213096
CH_1	10	187284
CH_1	11	152421
CH_1	12	147214
CH_1	13	133088
CH_1	14	120558
CH_1	15	113036
CH_1	16	111455
CH_1	17	107561
CH_1	18	97784
CH_1	19	96611
CH_1	20	93462
CH_1	21	86152
CH_1	22	80867
CH_1	23	76843
CH_1	24	72215
CH_1	26	69117
CH_1	27	56485
CH_1	28	52519
CH_1	29	45479
CH_1	30	43979
CH_1	31	41308
CH_1	32	34613
CH_1	34	31693
CH_1	35	30171
CH_1	36	29234
CH_1	37	27807
CH_1	38	27111
CH_1	39	25577
CH_1	40	24337
CH_1	41	22561
CH_1	43	18422
CH_1	44	16392
CH_1	45	16381
CH_1	46	16164
CH_1	47	16116
CH_1	48	14618
CH_1	49	13829
CH_1	50	13646
CH_1	52	11290
CH_1	53	11156
CH_1	54	10740
CH_1	56	9629
CH_1	57	9394
CH_1	58	9274
CH_1	59	9120
CH_1	60	9099
CH_1	62	8754
CH_1	64	6101
CH_1	65	5858
CH_1	67	5476
CH_1	68	5373
CH_1	69	5331
CH_1	70	5035
CH_1	71	4699
CH_1	72	4534
CH_1	73	4478
CH_1	74	4277
CH_1	75	3659
CH_1	76	3414
CH_1	77	2455
CH_1	79	1886
CH_1	80	1666
CH_1	81	1636
CH_1	82	1370
CH_1	84	1346
CH_1	85	1331
CH_1	86	1312
CH_1	87	1238
CH_1	88	1144
CH_1	89	1137
CH_1	90	1112
CH_1	91	1111
CH_1	92	1083
CH_1	93	961
CH_1	94	961
CH_1	95	937
CH_1	97	920
CH_1	98	910
CH_1	99	903
CH_1	100	902
CH_1	101	895
CH_1	102	861
CH_1	104	822
CH_1	105	764
CH_1	106	761
CH_1	107	743
CH_1	108	741
CH_1	109	698
CH_1	110	690
CH_1	111	684
CH_1	112	683
CH_1	113	666
CH_1	114	661
CH_1	115	656
CH_1	116	655
CH_1	117	652
CH_1	118	635
CH_1	119	618
CH_1	120	613
CH_1	121	603
CH_1	122	590
CH_1	123	587
CH_1	124	577
CH_1	125	561
CH_1	126	553
CH_1	127	548
CH_1	128	530
CH_1	129	523
CH_1	130	515
CH_1	131	513
CH_1	132	512
CH_1	133	501
CH_1	134	501
CH_1	135	490
CH_1	136	473
CH_1	137	466
CH_1	138	463
CH_1	139	458
CH_1	140	458
CH_1	141	458
CH_1	142	457
CH_1	143	452
CH_1	144	451
CH_1	145	429
CH_1	146	428
CH_1	149	406
CH_1	150	405
CH_1	151	381
CH_1	153	379
CH_1	154	372
CH_1	155	368
CH_1	156	366
CH_1	157	361
CH_1	158	358
CH_1	159	331
CH_1	160	329
CH_1	161	329
CH_1	162	325
CH_1	163	321
CH_1	164	318
CH_1	165	314
CH_1	166	308
CH_1	167	306
CH_1	168	305
CH_1	169	304
CH_1	170	297
CH_1	171	297
CH_1	172	292
CH_1	173	291
CH_1	174	291
CH_1	175	290
CH_1	176	290
CH_1	177	287
CH_1	178	287
CH_1	179	285
CH_1	180	284
CH_1	181	284
CH_1	182	282
CH_1	183	280
CH_1	184	280
CH_1	185	275
CH_1	186	266
CH_1	187	263
CH_1	188	263
CH_1	189	263
CH_1	190	263
CH_1	191	261
CH_1	192	260
CH_1	193	259
CH_1	194	257
CH_1	195	255
CH_1	196	249
CH_1	197	247
CH_1	198	243
CH_1	199	241
CH_1	200	240
CH_1	201	239
CH_1	202	235
