contig	chromosome	plasmid
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	0	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	0	0
18	0	0
19	0	0
20	1	0
21	0	0
22	1	0
23	1	0
24	0	0
25	1	0
26	1	0
27	0	0
28	0	1
29	1	0
30	1	0
31	0	0
32	0	0
33	1	0
34	0	0
35	1	0
36	0	0
37	0	1
38	0	0
39	1	0
40	0	1
41	0	0
42	0	0
43	1	0
44	0	1
45	0	0
46	0	0
47	0	0
48	1	0
49	0	1
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
80	0	0
82	0	0
84	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
99	0	0
102	0	0
103	0	0
104	0	0
105	0	0
111	0	0
112	0	0
113	0	0
114	0	0
116	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
125	0	0
127	0	0
129	0	0
130	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
140	0	0
146	0	0
147	0	0
150	0	0
153	0	0
154	0	0
157	0	0
158	0	0
159	0	0
160	0	0
164	0	0
165	0	0
172	0	0
173	0	0
175	0	0
180	0	0
181	0	0
184	0	0
185	0	0
191	0	0
193	0	0
196	0	0
197	0	0
198	0	0
200	0	0
201	0	0
202	0	0
204	0	0
209	0	0
215	0	0
216	0	0
219	0	0
225	0	0
230	0	0
235	0	0
236	0	0
243	0	0
