plasmid	contig	contig_len

GT_2	21	78327
GT_2	32	22479
GT_2	33	20659
GT_2	36	15543
GT_2	39	13906
GT_2	42	11362
GT_2	44	10434
GT_2	46	8389
GT_2	51	2953
GT_2	53	2735
GT_2	55	2123
GT_2	59	1344
GT_2	60	1070
GT_2	72	742
GT_2	77	654
GT_2	80	623
GT_2	88	460
GT_2	92	444
GT_2	93	425
GT_2	125	238
GT_2	137	199
GT_2	145	159
GT_2	146	156
GT_2	159	141
GT_2	161	140
GT_2	180	82
GT_2	183	77
GT_2	186	73
GT_2	189	66
GT_2	190	65
GT_2	191	65
GT_2	204	45
GT_2	206	44
GT_2	207	43
GT_2	210	40
GT_2	211	40
GT_2	212	39
GT_2	220	30

GT_3	54	2578

