plasmid	contig	contig_len

GT_2	37	38992
GT_2	40	23307
GT_2	41	21668
GT_2	48	15482
GT_2	53	10100
GT_2	61	2746
GT_2	66	1343
GT_2	77	844
GT_2	83	678
GT_2	85	640
GT_2	91	566
GT_2	94	547
GT_2	102	486
GT_2	108	427
GT_2	113	363
GT_2	131	257
GT_2	135	242
GT_2	143	193
GT_2	150	171
GT_2	154	163
GT_2	160	151
GT_2	170	138
GT_2	172	138
GT_2	174	132
GT_2	180	115
GT_2	183	111
GT_2	185	109
GT_2	196	82
GT_2	205	70
GT_2	206	70
GT_2	209	64
GT_2	211	59
GT_2	214	58
GT_2	215	55
GT_2	216	54
GT_2	220	45
GT_2	221	43
GT_2	226	34
GT_2	227	33
GT_2	228	33

GT_3	46	17725
GT_3	49	14753
GT_3	51	12343
GT_3	56	7588
GT_3	57	7043
GT_3	62	2439
GT_3	64	1550
GT_3	66	1343
GT_3	73	973
GT_3	77	844
GT_3	78	824
GT_3	79	820
GT_3	87	599
GT_3	88	585
GT_3	105	477
GT_3	121	302
GT_3	127	284
GT_3	131	257
GT_3	134	243
GT_3	135	242
GT_3	160	151
GT_3	172	138
GT_3	174	132
GT_3	179	115
GT_3	183	111
GT_3	205	70
GT_3	206	70
GT_3	209	64
GT_3	215	55
GT_3	218	52
GT_3	226	34
GT_3	227	33
GT_3	228	33

