chromosome	contig	contig_len
CH_1	1	495460
CH_1	2	229255
CH_1	3	223232
CH_1	4	212242
CH_1	5	209427
CH_1	6	202903
CH_1	7	188286
CH_1	8	175221
CH_1	9	165358
CH_1	10	147221
CH_1	11	136755
CH_1	12	126774
CH_1	13	119182
CH_1	14	105087
CH_1	16	96974
CH_1	17	93021
CH_1	18	90568
CH_1	19	89489
CH_1	20	87762
CH_1	21	73601
CH_1	22	72443
CH_1	23	70537
CH_1	24	63289
CH_1	25	61140
CH_1	26	58264
CH_1	27	56893
CH_1	28	56547
CH_1	29	54540
CH_1	30	51553
CH_1	31	49346
CH_1	32	49329
CH_1	33	49089
CH_1	34	48612
CH_1	35	42282
CH_1	36	41492
CH_1	37	41368
CH_1	38	41233
CH_1	39	39168
CH_1	40	39038
CH_1	41	38005
CH_1	42	36612
CH_1	43	32609
CH_1	44	30733
CH_1	45	21856
CH_1	46	20541
CH_1	47	17223
CH_1	48	16993
CH_1	49	16895
CH_1	50	15946
CH_1	51	15724
CH_1	52	15620
CH_1	53	12988
CH_1	54	11736
CH_1	55	9118
CH_1	56	8292
CH_1	57	8130
CH_1	58	7749
CH_1	59	7409
CH_1	60	7103
CH_1	61	6566
CH_1	62	5707
CH_1	63	5407
CH_1	64	5354
CH_1	65	5014
CH_1	66	4113
CH_1	67	3922
CH_1	68	3642
CH_1	69	3514
CH_1	70	3062
CH_1	71	2938
CH_1	72	1990
CH_1	73	1990
CH_1	74	1703
CH_1	75	1675
CH_1	76	1565
CH_1	77	1446
CH_1	78	1426
CH_1	79	1283
CH_1	80	1283
CH_1	81	1247
CH_1	82	1192
CH_1	83	1191
CH_1	84	1176
CH_1	85	1167
CH_1	86	1087
CH_1	87	1039
CH_1	88	949
CH_1	89	926
CH_1	90	845
CH_1	91	840
CH_1	92	814
CH_1	93	806
CH_1	94	782
CH_1	95	781
CH_1	96	779
CH_1	97	779
CH_1	98	713
CH_1	99	700
CH_1	100	679
CH_1	101	669
CH_1	102	666
CH_1	103	666
CH_1	104	634
CH_1	105	619
CH_1	106	569
CH_1	107	563
CH_1	108	541
CH_1	109	522
CH_1	110	522
CH_1	111	522
CH_1	112	479
CH_1	113	479
CH_1	114	461
CH_1	115	461
CH_1	116	458
CH_1	117	432
CH_1	118	407
CH_1	119	405
CH_1	120	398
CH_1	121	395
CH_1	122	392
CH_1	123	389
CH_1	124	388
CH_1	125	385
CH_1	126	375
CH_1	127	358
CH_1	128	358
CH_1	129	342
CH_1	130	316
CH_1	131	316
CH_1	132	305
CH_1	133	294
CH_1	134	287
CH_1	135	280
CH_1	136	267
CH_1	137	259
CH_1	138	257
CH_1	139	256
CH_1	140	256
CH_1	141	256
CH_1	142	249
CH_1	143	248
CH_1	144	242
CH_1	145	235
CH_1	146	235
CH_1	147	209
CH_1	148	207
CH_1	149	206
CH_1	150	204
CH_1	151	203
CH_1	152	200
CH_1	153	197
CH_1	154	194
CH_1	155	193
CH_1	156	184
CH_1	157	179
CH_1	158	172
CH_1	159	171
CH_1	160	161
CH_1	161	160
CH_1	162	158
CH_1	163	156
CH_1	164	155
CH_1	165	155
CH_1	166	153
CH_1	167	153
CH_1	168	149
CH_1	169	147
CH_1	170	147
CH_1	171	146
CH_1	172	143
CH_1	173	143
CH_1	174	140
CH_1	175	132
CH_1	176	129
CH_1	177	127
CH_1	178	125
CH_1	179	114
CH_1	180	113
CH_1	181	100
CH_1	182	100
CH_1	183	98
CH_1	184	92
CH_1	185	92
CH_1	186	91
CH_1	187	91
CH_1	188	88
CH_1	189	85
CH_1	190	81
CH_1	191	80
CH_1	192	78
CH_1	193	77
CH_1	194	76
CH_1	195	76
CH_1	196	76
CH_1	197	70
CH_1	198	58
CH_1	199	58
CH_1	200	56
CH_1	201	52
CH_1	202	52
CH_1	203	52
CH_1	204	51
CH_1	205	51
CH_1	206	51
CH_1	207	36
CH_1	208	36
CH_1	209	35
CH_1	210	35
CH_1	211	28
CH_1	212	28
