contig	chromosome	plasmid
1	5.610183469843103	-693.6431774080315
2	5.630236853097649	-604.5633925510748
3	4.1656428012122175	-460.28857488897785
4	4.396739719655668	-485.80987557104334
5	3.749834145443524	-449.14188176301957
6	4.04858406695746	-432.8568804345742
7	4.2012628627866295	-410.13679608602484
8	-5.218930339968834	-239.01542166742288
9	-0.6002321072251773	-239.52134189544827
10	3.268927772705876	-283.6384286379529
11	3.23717418321388	-268.52140431513726
12	2.934020138761743	-278.2124161406101
13	2.0544825315546076	-215.16664715561168
14	1.9010817350315392	-219.6420057867187
15	3.0060806918723975	-262.90756515049355
16	-3.273994107115321	-153.31024050845355
17	2.4284210835434763	-230.80871701158466
18	-4.292902428221506	-143.2672370736151
19	-0.2714330966395293	-144.056344920854
20	-0.7558534052433288	-129.11273703988982
21	1.3714230515191161	-169.70016829461386
22	-2.492193384190183	-132.30862744521562
23	2.6199948390971333	-238.01256641576845
24	0.6252441505709054	-164.211285195858
25	1.7025999308365094	-156.58476820023108
26	2.0303458079538768	-163.9375291597859
27	1.7357678468606128	-171.50570812107696
28	-50.912005191997686	158.27502683402318
29	0.00045986965306710204	-76.73050439432394
30	-0.5268559308751453	-57.699501150513996
31	-0.30773914210290165	-79.61817566742893
32	0.6443265262175926	-99.29408493351822
33	-0.24427915833128555	-79.13155238750963
34	-3.2139754588010545	-48.52021978450737
35	-0.2539754930424749	-66.29595648257958
36	-0.9723149552038084	-84.83020971842934
37	0.44289216454548885	-77.97371973186543
38	-0.1324293123046134	-48.25897615320437
39	-0.32470276167890777	-70.84554100179334
40	0.21376964555328914	-34.020728698168575
41	0.09114392431996876	-30.043328793221132
42	1.0208824013050206	-77.59082275210798
43	-6.922558555950121	38.86958404763541
44	1.3410068410719331	-120.71006882222729
45	-0.26668847144898145	-8.023469312186325
46	-0.16959739907723304	-48.49083078626054
47	0.06493353101767507	-25.43417000784254
48	-0.19608691280082713	-15.64692862515347
49	-5.274296886540772	21.403250715225425
50	-0.9184586206703793	6.075156664622506
51	-0.17625508561835357	-2.319201575343259
52	-1.7754949539179217	-16.737451691967358
53	0.3082318783071205	-34.516903724737794
54	-7.60262376418255	40.295857754417895
55	0.33580984575519146	-35.340687799350775
56	-0.16696052935379946	-18.902601052212823
57	-1.051385549698053	2.818713778395238
58	-3.515525797880013	19.55597739935667
59	-0.5909490148339929	-3.414125410861602
60	-0.6916529697796525	4.448242363283362
61	-0.21061948032213085	2.485357593318952
62	0.0008322340509607784	-1.402748279646274
63	0.04657343868843711	-7.049632216054956
64	-0.16021049219261307	-0.3295705392481594
65	-0.8449088047361011	3.2536502888831373
66	-5.437165978519137	20.19769294480453
67	-4.029389087703639	16.502436521230855
68	-2.9085165232672647	16.081711944529925
69	-0.5521293355819648	4.065910572860701
70	-0.08678902449958148	-4.778167872241389
71	-0.13128167018587433	1.400074843610887
72	-0.014779605129021434	-0.20553222610177002
73	0.13699164669087427	-11.171189813003352
74	-0.00027842894149010533	0.008865519711704906
75	0.11984326401723777	-7.511521464169206
77	-1.7302036785103745	5.942913686737111
78	-0.03217417958494462	0.5121461193455605
80	-0.48405322912224946	2.585817231093281
81	0.03228266162598814	-1.5686159179136627
82	-2.2925242247356117	12.723257174400796
85	-0.9121573172513511	5.073465297184165
86	-1.0550747765154904	5.25946445855167
87	0.022131670511944534	-0.9513258303085497
88	-0.015038334430816036	-0.42875131405347844
89	-0.2790128755749004	1.0617710904071664
90	-1.8694273732844957	10.235428682644184
92	0.050813129352635045	-3.4643160307353824
93	0.050813129352635045	-3.4643160307353824
95	-0.423096851451116	2.487828491756612
96	-0.00715988288370184	0.20555536648344308
97	0.05392825768083753	-4.207673247528922
99	-0.423096851451116	2.487828491756612
100	0.05839251033709214	-6.310917778559418
101	0.019898011764624357	-1.0296194171810669
103	0.0007193147681991974	-0.023286205945403537
104	0.025406564676317522	-1.7321580153676912
105	0.025406564676317522	-1.7321580153676912
106	-0.04914447011199741	0.9297966311423611
107	-0.04914447011199741	0.9297966311423611
111	0.02698720139711952	-2.079441541679744
112	0.02698720139711952	-2.079441541679744
115	0.018072146547677193	-0.8754687373538079
116	0.028024052021887513	-2.39789527279828
117	0.05392825768083753	-4.207673247528922
120	-0.011378498363635359	0.3333948277749137
121	0.07621969402895257	-5.196474046103074
122	0.07621969402895257	-5.196474046103074
123	-0.6476051460593748	2.787994404662455
124	0.02126522620518756	-1.1631508098055896
125	-0.14765053100131809	1.6846951182205272
126	0.014870846496533474	-0.7781269555105972
127	0.02698720139711952	-2.079441541679744
129	-0.9815039185452106	5.190040699332585
130	0.028024052021887513	-2.39789527279828
131	-0.5780036333180032	2.710836224605485
132	0.011655236212552822	-0.4700036292456442
134	0.17679707092679564	-11.933236645668343
135	-1.2292928070810252	5.503208108331655
136	-1.2292928070810252	5.503208108331655
137	-1.21089387903009	5.4809872441384
141	-0.12490947718659307	-0.6121522659833003
142	0.026810496632770686	-2.0340368953309182
146	0.011655236212552822	-0.4700036292456442
147	0.013798784774222028	-0.587786664902028
148	-0.7521345055276871	2.8853456671353994
149	0.012123586998130875	-0.480380340573646
150	0.050813129352635045	-3.4643160307353824
153	-0.009506432461567016	0.26439586650637636
154	-0.006459140071598313	0.1872628817622708
157	0.021555001234558446	-1.1939224684723442
158	0.02698720139711952	-2.079441541679744
159	-0.009506432461567016	0.26439586650637636
161	0.10102689767245465	-6.818992368953339
162	0.07577017325434099	-5.114244276715004
164	0.02603580965563168	-1.856297990365535
173	-1.4272266020036124	5.700888111645019
174	-0.423096851451116	2.487828491756612
175	-0.14765053100131809	1.6846951182205272
178	-0.006459140071598313	0.1872628817622708
179	-0.006086218450663594	0.17738448951674712
180	0.025406564676317522	-1.7321580153676912
182	0.026810496632770686	-2.0340368953309182
187	-0.006459140071598313	0.1872628817622708
188	-0.006459140071598313	0.1872628817622708
189	0.028024052021887513	-2.39789527279828
197	0.02698720139711952	-2.079441541679744
207	-0.6750920964759253	2.81554244450962
219	-0.6476051460593748	2.787994404662455
220	-0.6476051460593748	2.787994404662455
