plasmid	contig	contig_len

GT_10	103	1506

GT_2	26	52232
GT_2	49	15520
GT_2	52	14429
GT_2	58	9802
GT_2	63	6517
GT_2	65	6095
GT_2	66	5873
GT_2	80	2735
GT_2	84	2639
GT_2	94	1932
GT_2	136	519
GT_2	197	223
GT_2	207	211
GT_2	213	200
GT_2	222	193
GT_2	242	164
GT_2	250	155
GT_2	257	143
GT_2	279	134
GT_2	301	107
GT_2	312	97
GT_2	316	88
GT_2	325	76
GT_2	344	64
GT_2	345	64
GT_2	346	64
GT_2	349	63
GT_2	350	62
GT_2	353	54
GT_2	357	48
GT_2	362	43
GT_2	368	40
GT_2	371	31
GT_2	372	31
GT_2	373	31

GT_3	61	6647

GT_4	68	5386

GT_5	88	2337
GT_5	376	29

GT_6	89	2328

GT_7	91	2281
GT_7	376	29

GT_8	93	1975

GT_9	101	1552

