chromosome	contig	contig_len
CH_1	1	452114
CH_1	2	423556
CH_1	3	319989
CH_1	4	235321
CH_1	5	218356
CH_1	6	214029
CH_1	7	210594
CH_1	8	208552
CH_1	9	201675
CH_1	10	195586
CH_1	11	183960
CH_1	12	158927
CH_1	13	150990
CH_1	14	147635
CH_1	15	133908
CH_1	16	108126
CH_1	17	100659
CH_1	18	96111
CH_1	19	94778
CH_1	20	92486
CH_1	21	91733
CH_1	22	86425
CH_1	23	70925
CH_1	24	70659
CH_1	26	49797
CH_1	27	47349
CH_1	28	43596
CH_1	29	42378
CH_1	30	41243
CH_1	31	39228
CH_1	32	34105
CH_1	34	30861
CH_1	35	29690
CH_1	36	26797
CH_1	38	16368
CH_1	42	8841
CH_1	46	6537
CH_1	50	4873
CH_1	52	4113
CH_1	56	2277
CH_1	57	2259
CH_1	59	1836
CH_1	60	1690
CH_1	61	1620
CH_1	62	1463
CH_1	63	1388
CH_1	65	1244
CH_1	75	867
CH_1	76	838
CH_1	79	776
CH_1	80	600
CH_1	83	510
CH_1	84	491
CH_1	85	461
CH_1	88	398
CH_1	89	398
CH_1	91	382
CH_1	92	356
CH_1	94	331
CH_1	96	296
CH_1	101	256
CH_1	106	241
CH_1	107	239
CH_1	108	224
CH_1	109	215
CH_1	110	212
CH_1	111	211
CH_1	112	209
CH_1	113	196
CH_1	114	195
CH_1	116	184
CH_1	117	184
CH_1	118	181
CH_1	119	175
CH_1	123	157
CH_1	124	156
CH_1	125	156
CH_1	126	153
CH_1	127	152
CH_1	128	141
CH_1	130	133
CH_1	132	132
CH_1	135	129
CH_1	137	124
CH_1	138	113
CH_1	140	109
CH_1	141	102
CH_1	142	100
CH_1	143	82
CH_1	144	82
CH_1	148	76
CH_1	149	73
CH_1	150	72
CH_1	151	69
CH_1	152	65
CH_1	153	62
CH_1	154	62
CH_1	155	58
CH_1	156	58
CH_1	157	58
CH_1	163	43
CH_1	164	43
CH_1	166	37
CH_1	167	35
