contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.00060365023	0.99969155	0	1	0.0	1.0	0.0309884125945412	0.969011587405459	610061	1.0060153242177403	0.5140633477635843
2	0	1	0.0007798	0.9995864	0	1	0.0	1.0	0.0168695414017245	0.983130458598276	426608	0.9970041795756944	0.5079557814199452
3	0	1	0.001913855	0.99899554	0	1	0.0	1.0	0.0340924118545066	0.965907588145493	328787	1.0007600319334702	0.5138068110965458
4	0	1	0.0024545037	0.99872327	0	1	0.0	1.0	0.0294012082378637	0.970598791762136	250484	1.0009520199040796	0.50571693201961
5	0	1	0.0019241798	0.9989161	0	1	0.0	1.0	0.0253553250294289	0.974644674970571	217924	0.9933133674860372	0.4939795525045429
6	0	1	0.005414703	0.9970759	0	1	0.0	1.0	0.0283536180779529	0.971646381922047	215657	0.9807899540740188	0.501759738844554
7	0	1	0.0027115257	0.9985781	0	1	0.0	1.0	0.0169304903418938	0.983069509658106	200315	0.9997518433281553	0.5215435688790155
8	0	1	0.0028513372	0.9984254	0	1	0.0	1.0	0.0221169383282613	0.977883061671739	197395	0.9999524083095094	0.5123837989817371
9	0	1	0.0041663568	0.99765015	0	1	0.0	1.0	0.0303784629963885	0.969621537003612	178769	1.000123825492176	0.5073922212464129
10	0	1	0.003728507	0.9979613	0	1	0.0	1.0	0.0298178075701057	0.970182192429894	167846	1.0	0.5182488709888826
11	0	1	0.015644442	0.99107784	0	1	0.0	1.0	0.0265240506031672	0.973475949396833	153847	0.9929312152141878	0.5126066806632563
12	0	1	0.06619891	0.95468056	0	1	0.001	0.999	0.0201578904005109	0.979842109599489	129208	1.0003603370851453	0.502337316574825
13	0	1	0.004623553	0.997537	0	1	0.0	1.0	0.0337416717905407	0.966258328209459	111397	1.0086843503790903	0.5192150596515166
14	0	1	0.0043557915	0.9976393	0	1	0.001	0.999	0.0180754410275454	0.981924558972455	107495	1.0286105379334105	0.5286943578771106
15	0	1	0.021357829	0.9878174	0	1	0.008	0.992	0.0587529894022005	0.941247010597799	98438	0.9846879401523162	0.5068266319917105
16	0	1	0.005287862	0.99698615	0	1	0.0	1.0	0.0152220823727273	0.984777917627273	97607	0.9862516671255868	0.5162539571956929
17	0	1	0.0044845208	0.99760604	0	1	0.001	0.999	0.031685965748787	0.968314034251213	90015	1.0050707813082502	0.5213797700383269
18	0	1	0.015459801	0.9911313	0	1	0.001	0.999	0.0171262013823885	0.982873798617611	79739	0.9975206995525248	0.4977990694641267
19	0	1	0.006023447	0.99667716	0	1	0.0	1.0	0.0356787774788495	0.96432122252115	78707	1.0197981432441898	0.5176794948352751
20	0	1	0.0062496	0.99654186	0	1	0.0	1.0	0.0250584619039647	0.974941538096035	78374	0.9883468346426716	0.5186541455074387
21	0	1	0.0067910124	0.99624527	0	1	0.003	0.997	0.0815639845812831	0.918436015418717	71769	1.0145415277159275	0.4967325725591829
22	0	1	0.026412085	0.9850191	0	1	0.172	0.828	0.0507595195454651	0.949240480454535	68107	0.982587106957792	0.5217819020071358
23	0	1	0.03320904	0.98050666	0	1	0.003	0.997	0.0151388522735962	0.984861147726404	65324	0.9917299553936068	0.4730573755434449
24	0	1	0.017452626	0.9902825	0	1	0.001	0.999	0.0401767236456296	0.95982327635437	56521	0.9909666438906436	0.5065373931812954
25	0	1	0.012267318	0.9931285	0	1	0.003	0.997	0.005686417726418	0.994313582273582	50813	0.9866663947141496	0.5074685611949697
26	0	1	0.09577014	0.9344316	0	1	0.289	0.711	0.151951802602492	0.848048197397508	50810	0.989081106438816	0.4650068884077937
27	0	1	0.014002115	0.99205554	0	1	0.0	1.0	0.0036004016563705	0.996399598343629	43229	0.978490822169116	0.5125957112123806
28	0	1	0.13919856	0.9102348	0	1	0.285	0.715	0.0616550612135404	0.93834493878646	42189	1.0073231983214337	0.4800066368010618
29	0	1	0.011635067	0.9934598	0	1	0.013	0.987	0.046768949200656	0.953231050799344	41308	0.975651184636496	0.4947467802846906
30	0	1	0.032986216	0.9792305	0	1	0.328	0.672	0.0405706348716014	0.959429365128399	39157	0.978611232107718	0.4962586510713282
31	1	0	0.05050415	0.9702785	1	0	0.981	0.019	0.812656959626245	0.187343040373755	35969	1.396461344854074	0.5192526898162306
32	0	1	0.00825062	0.99528885	0	1	0.0	1.0	0.0854323288736738	0.914567671126326	32904	1.0151205599502326	0.5222465353756383
33	0	1	0.010588862	0.99418044	0	1	0.045	0.955	0.0775394573485199	0.92246054265148	32071	0.976306136948489	0.4922515668360824
34	0	1	0.0093697505	0.9945575	0	1	0.0	1.0	0.0167553931300727	0.983244606869927	32041	0.9790664549969578	0.4992665647139602
35	0	1	0.22748516	0.8488464	0	1	0.193	0.807	0.0884714229621709	0.911528577037829	31246	0.961101448764686	0.4827177878768482
36	0	1	0.011650325	0.99353325	0	1	0.001	0.999	0.0606524159262878	0.939347584073712	30171	0.9958935169919334	0.5365085678300354
37	0	1	0.008275094	0.99517196	0	1	0.0	1.0	0.0095933679440324	0.990406632055968	29827	1.0000611893163456	0.4892211754450665
38	0	1	0.5794671	0.5516342	0	1	0.231	0.769	0.0587975157251779	0.941202484274822	26336	1.014293371044083	0.4322220534629404
39	0	1	0.04210126	0.97416526	0	1	0.222	0.778	0.0660040859584229	0.933995914041577	23900	0.9932623763890824	0.4615899581589958
40	1	0	0.8628453	0.20441294	1	0	0.977	0.023	0.658571275554116	0.341428724445884	23249	1.4563367133160776	0.4467288915652286
41	0	1	0.1519621	0.8975482	0	1	0.307	0.693	0.186206243236959	0.813793756763041	23141	0.9801081932302016	0.4723218529882028
42	0	1	0.014861716	0.9912813	0	1	0.008	0.992	0.0048104213634925	0.995189578636507	22844	1.0008747805966411	0.4919891437576607
43	0	1	0.11087992	0.9279103	0	1	0.282	0.718	0.163784132272775	0.836215867727225	22685	0.9691143309861288	0.4737932554551465
44	0	1	0.034144975	0.98079634	0	1	0.008	0.992	0.0149887630109021	0.985011236989098	22561	0.9707503736514272	0.5008199991135145
45	0	1	0.09420702	0.9385662	0	1	0.223	0.777	0.042116360702796	0.957883639297204	22481	0.9858815199478528	0.4957074863217828
46	0	1	0.021557804	0.98779744	0	1	0.0	1.0	0.0115288729542558	0.988471127045744	20649	0.9932895716407916	0.5205094677708364
47	0	1	0.19301966	0.87166834	1	0	0.873	0.127	0.377997500355571	0.622002499644429	19188	1.0721230333070857	0.4791015217844486
48	0	1	0.025894772	0.98552114	0	1	0.002	0.998	0.0470033939207614	0.952996606079239	18987	1.0080497945058793	0.509190498762311
49	1	0	0.82063085	0.2752227	1	0	0.856	0.144	0.362324534023504	0.637675465976496	16475	1.4179944181745867	0.5018512898330805
50	0	1	0.045880504	0.9742354	0	1	0.008	0.992	0.0578747139348027	0.942125286065197	15091	1.0102095507457731	0.4917500496984958
51	0	1	0.020764766	0.9883679	0	1	0.111	0.889	0.050139386327317	0.949860613672683	14956	0.9800155707719586	0.5030088258892752
52	0	1	0.009652474	0.99463665	0	1	0.016	0.984	0.0077109935097531	0.992289006490247	14743	0.9995150180111888	0.5106830360170929
53	0	1	0.13474676	0.9163617	0	1	0.295	0.705	0.133753157048186	0.866246842951814	14257	0.9938278291029352	0.4572490706319702
54	0	1	0.012756322	0.99267775	0	1	0.02	0.98	0.0234957392067096	0.97650426079329	12521	0.996737702930402	0.4890983148310838
55	1	0	0.8089379	0.29481855	1	0	0.765	0.235	0.661462363010796	0.338537636989204	12271	1.3865839024506323	0.5101458723820389
56	1	0	0.088663004	0.954135	1	0	0.805	0.195	0.822036628062073	0.177963371937927	12188	1.4402718618662518	0.5600590744995078
57	1	0	0.2601265	0.83507603	1	0	0.892	0.108	0.977944886752051	0.0220551132479493	11993	1.070358648713268	0.4957892103727174
58	0	1	0.1381277	0.9140972	0	1	0.551	0.449	0.49146826489067	0.50853173510933	9355	0.9858029454723872	0.4711918760021379
59	0	1	0.057446886	0.9676666	0	1	0.044	0.956	0.0020611067551639	0.997938893244836	8780	1.0027297233902963	0.5238041002277904
60	1	0	0.82640827	0.26327965	1	0	0.78	0.22	0.620656909906229	0.379343090093771	8097	1.4773590080088246	0.4463381499320736
61	0	1	0.7202668	0.42776605	0	1	0.559	0.441	0.184413230780898	0.815586769219102	7845	0.9553578611841042	0.4599107711918419
62	0	1	0.34793517	0.78081983	1	0	0.794	0.206	0.887986532249724	0.112013467750276	6887	1.1127912073036672	0.4980397851023668
63	1	0	0.857101	0.21239856	1	0	0.874	0.126	0.714751338146002	0.285248661853998	6113	1.4637277664653088	0.3962048094225421
64	0	1	0.23170629	0.8545176	0	1	0.211	0.789	0.0246519190232741	0.975348080976726	5742	0.964001418685631	0.5221177290142808
65	0	1	0.3090431	0.7810926	0	1	0.217	0.783	0.0253675377374677	0.974632462262532	5568	1.0641324193959167	0.413433908045977
66	0	1	0.89045715	0.2028963	0	1	0.228	0.772	0.158042815205507	0.841957184794493	5386	1.4134618762230784	0.4470850352766432
67	0	1	0.015599244	0.9920275	0	1	0.084	0.916	0.0624605532327481	0.937539446767252	5236	0.99951955055314	0.4957983193277311
68	0	1	0.12576583	0.9200278	0	1	0.299	0.701	0.261796639759655	0.738203360240345	5135	1.0680770014936347	0.3972736124634858
69	0	1	0.47167966	0.6996622	0	1	0.248	0.752	0.0558569908262417	0.944143009173758	4919	0.9833655710379636	0.4797723114454157
70	0	1	0.06454938	0.96543795	0	1	0.122	0.878	0.0027422286963925	0.997257771303607	4906	0.99081014161837	0.568895230330208
71	0	1	0.65266263	0.5200709	0	1	0.401	0.599	0.073522946849353	0.926477053150647	4599	0.9552264174675104	0.4777125462056968
72	0	1	0.036234427	0.9808228	0	1	0.093	0.907	0.0176607712527262	0.982339228747274	4213	0.9499641362618088	0.4709233325421315
73	1	0	0.043337323	0.98004293	0	1	0.771	0.229	0.704965128617012	0.295034871382988	3703	1.115954887609957	0.6100459087226573
74	1	0	0.86727285	0.22543876	1	0	0.539	0.461	0.474746539664757	0.525253460335243	3685	1.4208499196040374	0.4789687924016282
75	1	0	0.8213615	0.29169568	1	0	0.692	0.308	0.968531880725985	0.031468119274015	2735	1.347071467988356	0.4595978062157221
76	1	0	0.12828787	0.99866927	0	1	0.017	0.983	0.118697202423043	0.881302797576957	2581	5.916327009304176	0.4738473459899264
77	1	0	0.82004595	0.9225018	0	1	0.657	0.343	0.998758084159847	0.0012419158401529	2371	5.127891336839256	0.570223534373682
78	1	0	0.8718728	0.2172714	1	0	0.663	0.337	0.183259099951569	0.816740900048431	2339	1.4841808620214911	0.4771269773407439
79	0	1	0.9999621	0.0071407272	0	1	0.513	0.487	0.0868277473348406	0.913172252665159	2337	68.33781488418789	0.4163457424047925
80	0	1	0.020574233	0.9973006	0	1	0.085	0.915	0.0044468438366165	0.995553156163383	2128	1.812518200988774	0.6245300751879699
81	0	1	0.2870091	0.87933546	0	1	0.202	0.798	0.0660878469783915	0.933912153021608	2083	2.039768523082537	0.585213634181469
82	0	1	0.19195691	0.94482785	0	1	0.201	0.799	0.394220587895087	0.605779412104913	2027	1.8227504144443047	0.5777010360138135
83	1	0	0.564877	0.89103055	0	1	0.48	0.52	0.343615255065021	0.656384744934979	2006	2.7946633851062943	0.5792622133599202
84	0	1	0.008745992	0.99722606	0	1	0.137	0.863	0.0216869874789444	0.978313012521056	1917	1.0005315605684164	0.5367762128325508
85	0	1	0.31727275	0.80174315	0	1	0.226	0.774	0.263640908430565	0.736359091569435	1851	1.0185539604785006	0.428957320367369
86	0	1	0.051982213	0.97554266	0	1	0.265	0.735	0.0081137338329953	0.991886266167005	1765	1.0064566060099245	0.4141643059490085
87	0	1	0.017918203	0.9993566	0	1	0.056	0.944	0.475061521981669	0.524938478018331	1689	6.110467112442169	0.5352279455298994
88	0	1	0.09199888	0.95318407	0	1	0.158	0.842	0.0018245314209289	0.998175468579071	1678	0.9513221077863908	0.5846245530393326
89	0	1	0.045655087	0.989457	0	1	0.197	0.803	0.113348968235373	0.886651031764627	1635	1.735668952200946	0.5669724770642202
90	1	0	0.6385592	0.55601156	0	1	0.483	0.517	0.995439863763903	0.0045601362360965	1556	1.380589615719762	0.4672236503856041
91	0	1	0.014677799	0.9986136	0	1	0.18	0.82	0.0015465650347025	0.998453434965297	1549	1.8820473945249163	0.5093608779857973
92	0	1	0.5906254	0.6039584	0	1	0.231	0.769	0.22588562049895	0.77411437950105	1398	0.9083803301276931	0.5071530758226037
93	0	1	0.04944109	0.97849196	1	0	0.694	0.306	0.916570309778754	0.0834296902212457	1352	0.931707057281132	0.5591715976331361
94	0	1	0.50258195	0.7746775	0	1	0.163	0.837	0.0171133167536283	0.982886683246372	1351	1.9875196457365212	0.5869726128793487
95	1	0	0.12621169	0.99874365	0	1	0.739	0.261	0.110632937075469	0.889367062924531	1341	6.121039266544062	0.5130499627143923
96	0	1	0.025134241	0.9988654	0	1	0.097	0.903	0.000309705095037	0.999690294904963	1283	6.257627418252775	0.5128604832424006
97	0	1	0.6093095	0.5769907	0	1	0.233	0.767	0.0001317467119588	0.999868253288041	1248	0.8737946213327215	0.4647435897435897
98	0	1	0.051217936	0.977484	0	1	0.258	0.742	0.0134131740601859	0.986586825939814	1238	1.03433287214719	0.4063004846526656
99	0	1	0.6704378	0.50272644	0	1	0.351	0.649	0.0683747247429629	0.931625275257037	1141	0.9591346017651988	0.4855390008764242
100	0	1	0.07949495	0.99479556	0	1	0.274	0.726	0.921472666585872	0.0785273334141279	1135	2.6318884722727414	0.5013215859030837
101	0	1	0.02995189	0.99861944	0	1	0.106	0.894	0.0024191308159181	0.997580869184082	1112	6.297876390782172	0.5440647482014388
102	0	1	0.9139064	0.7663877	1	0	0.452	0.548	0.192042953538712	0.807957046461288	1058	8.516601001465146	0.558601134215501
103	0	1	0.006689095	0.99807	0	1	0.177	0.823	0.138411887869858	0.861588112130142	1019	0.926875497822382	0.5024533856722276
104	1	0	0.11594404	0.9692732	0	1	0.534	0.466	0.127012078995857	0.872987921004143	1015	1.8229317161223653	0.5458128078817734
105	0	1	0.6766702	0.7805952	0	1	0.384	0.616	0.5	0.5	827	2.6258488601223564	0.3301088270858525
106	1	0	0.19953299	0.96390706	0	1	1.0	0.0	0.5	0.5	821	2.164300113200236	0.5213154689403167
107	1	0	0.9379684	0.9504454	0	1	0.693	0.307	0.5	0.5	733	8.622186566225539	0.5238744884038199
108	1	0	0.7959621	0.982968	0	1	0.401	0.599	0.5	0.5	695	8.504453789035104	0.5453237410071943
109	1	0	0.9003264	0.2073434	0	1	0.314	0.686	0.5	0.5	674	1.6610633116791145	0.5089020771513353
110	0	1	0.04748738	0.9840003	0	1	0.427	0.573	0.5	0.5	667	1.0710555270383126	0.4512743628185907
111	0	1	0.03875727	0.9867312	0	1	0.151	0.849	0.5	0.5	648	0.9649929122375234	0.5817901234567902
112	1	0	0.017571772	0.99534905	0	1	0.217	0.783	0.5	0.5	643	0.9281388136298072	0.567651632970451
113	0	1	0.0245328	0.9979315	0	1	0.189	0.811	0.5	0.5	589	1.6352504852652732	0.5483870967741935
114	0	1	0.062927626	0.9955439	0	1	0.162	0.838	0.5	0.5	587	2.9173819584433898	0.6337308347529813
115	0	1	0.27529156	0.9476458	0	1	0.187	0.813	0.5	0.5	575	2.90105347606308	0.4713043478260869
116	0	1	0.0572524	0.9789281	0	1	0.182	0.818	0.5	0.5	555	0.9828477281200036	0.590990990990991
117	1	0	0.24261129	0.99962765	0	1	0.312	0.688	0.5	0.5	512	10.45944111491467	0.46484375
118	0	1	0.048575744	0.9805937	0	1	0.155	0.845	0.5	0.5	509	1.0628346290737638	0.4931237721021611
119	0	1	0.42279986	0.8077164	0	1	0.23	0.77	0.5	0.5	505	1.4242040006481536	0.5584158415841585
120	1	0	0.06199489	0.9919993	0	1	0.438	0.562	0.5	0.5	466	1.8775261839282864	0.555793991416309
121	0	1	0.039640125	0.99566424	0	1	0.192	0.808	0.5	0.5	466	1.7042131110574763	0.5128755364806867
122	0	1	0.019622963	0.9962712	0	1	0.264	0.736	0.5	0.5	454	0.9420435192015476	0.5550660792951542
123	0	1	0.019428726	0.9962772	0	1	0.264	0.736	0.5	0.5	454	0.9349240289312154	0.5572687224669604
124	1	0	0.022739597	0.99449784	0	1	0.271	0.729	0.5	0.5	451	0.9058217101960668	0.5631929046563193
125	0	1	0.059901815	0.99406946	0	1	0.211	0.789	0.5	0.5	446	2.0493095238904626	0.5874439461883408
126	0	1	0.74125046	0.609652	0	1	0.275	0.725	0.5	0.5	437	2.884566354714467	0.4576659038901602
127	0	1	0.14964159	0.9795352	0	1	0.276	0.724	0.5	0.5	393	2.726641261769029	0.4707379134860051
128	1	0	0.51561123	0.7269738	0	1	0.316	0.684	0.5	0.5	393	0.9394984968957756	0.5750636132315522
129	0	1	0.028883597	0.9923916	0	1	0.19	0.81	0.5	0.5	392	0.8416862415822198	0.5204081632653061
130	1	0	0.17590907	0.96609074	0	1	0.2	0.8	0.5	0.5	373	2.118566764909513	0.3914209115281501
131	1	0	0.16986538	0.9724122	0	1	0.259	0.741	0.5	0.5	366	2.1607307364134227	0.5409836065573771
132	1	0	0.7281112	0.45174173	0	1	0.382	0.618	0.5	0.5	358	1.0336749028619605	0.5167597765363129
133	1	0	0.513847	0.7214458	0	1	0.387	0.613	0.5	0.5	349	0.9319563470884652	0.5100286532951289
134	0	1	0.12011645	0.98617965	0	1	0.29	0.71	0.5	0.5	347	1.8297531917593857	0.5273775216138329
135	0	1	0.61036724	0.5728051	0	1	0.335	0.665	0.5	0.5	338	1.1740303476346363	0.4201183431952662
136	1	0	0.13240325	0.972978	0	1	0.128	0.872	0.5	0.5	336	1.813232076346137	0.5625
137	0	1	0.0078124288	0.9989682	0	1	0.316	0.684	0.5	0.5	329	0.9652524002642474	0.5775075987841946
138	1	0	0.008029613	0.9988821	0	1	0.279	0.721	0.5	0.5	329	0.9010410115727128	0.6170212765957447
139	0	1	0.8320905	0.34348235	0	1	0.387	0.613	0.5	0.5	319	1.8270449979433596	0.5329153605015674
140	0	1	0.009783187	0.999515	0	1	0.276	0.724	0.5	0.5	312	1.9168913107771384	0.6057692307692307
141	0	1	0.35198727	0.92238593	0	1	0.33	0.67	0.5	0.5	310	1.8388409383721604	0.4612903225806452
142	0	1	0.17593277	0.9261109	0	1	0.309	0.691	0.5	0.5	295	1.087755677858646	0.5423728813559322
143	0	1	0.18340062	0.925907	0	1	0.337	0.663	0.5	0.5	295	1.177123807516541	0.535593220338983
144	0	1	0.018971376	0.99959105	0	1	0.277	0.723	0.5	0.5	290	6.1787158628770085	0.5586206896551724
145	1	0	0.9508138	0.25350073	0	1	0.351	0.649	0.5	0.5	285	2.746063204031244	0.543859649122807
146	0	1	0.020483501	0.99637425	0	1	0.318	0.682	0.5	0.5	285	0.9809044007582944	0.4982456140350877
147	1	0	0.020685092	0.9961289	0	1	0.314	0.686	0.5	0.5	285	0.9656682609882984	0.4701754385964912
148	1	0	0.8375324	0.34627	0	1	0.327	0.673	0.5	0.5	280	1.8878263855130897	0.5178571428571429
149	1	0	0.09136046	0.98324883	0	1	0.18	0.82	0.5	0.5	280	2.8800904695373526	0.4857142857142857
150	0	1	0.8281331	0.6769651	0	1	0.343	0.657	0.5	0.5	276	3.3897521492747376	0.532608695652174
151	0	1	0.03310576	0.9963592	0	1	0.31	0.69	0.5	0.5	275	1.4813480233017984	0.5563636363636364
152	1	0	0.90033543	0.83386755	0	1	0.363	0.637	0.5	0.5	262	6.165684804766422	0.5190839694656488
153	0	1	0.65633637	0.60874367	0	1	0.204	0.796	0.5	0.5	262	1.7837705536613313	0.5534351145038168
154	0	1	0.108648136	0.98788065	0	1	0.274	0.726	0.5	0.5	260	2.483096451359593	0.5923076923076923
155	1	0	0.7202008	0.61647046	0	1	0.419	0.581	0.5	0.5	254	2.589259915218803	0.468503937007874
156	0	1	0.049148038	0.98555267	0	1	0.306	0.694	0.5	0.5	250	0.8892847308859876	0.592
157	1	0	0.5040603	0.8635658	0	1	0.341	0.659	0.5	0.5	245	2.2411153679234275	0.5551020408163265
158	1	0	0.041927654	0.9962605	0	1	0.298	0.702	0.5	0.5	242	2.0089472378122784	0.5991735537190083
159	0	1	0.6007831	0.73394006	0	1	0.29	0.71	0.5	0.5	238	1.92592240061552	0.4495798319327731
160	0	1	0.6933541	0.4887058	0	1	0.354	0.646	0.5	0.5	238	0.9673249050715744	0.5294117647058824
161	1	0	0.7178062	0.4850092	0	1	0.361	0.639	0.5	0.5	238	1.309349387596926	0.5462184873949579
162	1	0	0.3379738	0.93014306	0	1	0.363	0.637	0.5	0.5	236	2.451413983118548	0.5211864406779662
163	1	0	0.046408568	0.9990841	0	1	0.352	0.648	0.5	0.5	224	8.744882476852876	0.4017857142857143
164	1	0	0.721712	0.7672752	0	1	0.256	0.744	0.5	0.5	221	3.5559944567011943	0.497737556561086
165	0	1	0.044616506	0.9965538	0	1	0.336	0.664	0.5	0.5	218	3.9421670309697263	0.5229357798165137
166	1	0	0.8806533	0.8200123	0	1	0.368	0.632	0.5	0.5	213	8.510527395250124	0.6291079812206573
167	0	1	0.05579426	0.99514055	0	1	0.331	0.669	0.5	0.5	208	1.84659158510924	0.4615384615384615
168	1	0	0.61323327	0.8012805	0	1	0.297	0.703	0.5	0.5	206	2.4789831695385987	0.4660194174757281
169	0	1	0.020257784	0.99615264	0	1	0.311	0.689	0.5	0.5	195	0.8433054921943964	0.5692307692307692
170	0	1	0.041350294	0.9897673	0	1	0.329	0.671	0.5	0.5	193	0.9844465822933984	0.4766839378238341
171	1	0	0.23520422	0.98896134	0	1	0.342	0.658	0.5	0.5	193	10.617779802313184	0.4611398963730569
172	1	0	0.20692243	0.96585	0	1	0.399	0.601	0.5	0.5	191	2.2685712407946914	0.5392670157068062
173	1	0	0.8615256	0.31080934	0	1	0.375	0.625	0.5	0.5	191	1.8574356917282244	0.5497382198952879
174	0	1	0.07322702	0.99065363	0	1	0.254	0.746	0.5	0.5	188	4.149655470154912	0.5159574468085106
175	1	0	0.06723233	0.9945883	0	1	0.294	0.706	0.5	0.5	182	1.7221619771854504	0.5604395604395604
176	1	0	0.85078907	0.4243219	0	1	0.37	0.63	0.5	0.5	179	2.9450644584122285	0.5251396648044693
177	0	1	0.08319154	0.9860946	0	1	0.332	0.668	0.5	0.5	177	2.044187751485258	0.4858757062146893
178	0	1	0.039025042	0.99610853	0	1	0.282	0.718	0.5	0.5	174	1.5769846584786298	0.5172413793103449
179	0	1	0.075106524	0.9770241	0	1	0.356	0.644	0.5	0.5	169	0.9519482565010816	0.6153846153846154
180	0	1	0.019739714	0.9988396	0	1	0.322	0.678	0.5	0.5	167	1.9008347809139197	0.5568862275449101
181	1	0	0.30630392	0.9346024	0	1	0.351	0.649	0.5	0.5	166	1.824053520255364	0.5240963855421686
182	0	1	0.7323935	0.44002736	0	1	0.317	0.683	0.5	0.5	161	1.1740303476346363	0.4658385093167702
183	0	1	0.093688525	0.99096596	0	1	0.335	0.665	0.5	0.5	161	2.798844655056561	0.5962732919254659
184	0	1	0.6737718	0.5965292	0	1	0.351	0.649	0.5	0.5	159	1.4172465487525878	0.5408805031446541
185	1	0	0.11417281	0.98307633	0	1	0.31	0.69	0.5	0.5	157	1.9844941739838893	0.5286624203821656
186	0	1	0.44813374	0.8807242	0	1	0.313	0.687	0.5	0.5	157	2.070997737128431	0.4585987261146497
187	1	0	0.39292747	0.8642205	0	1	0.377	0.623	0.5	0.5	157	1.8382403765635855	0.4331210191082802
188	1	0	0.6598155	0.9791903	0	1	0.336	0.664	0.5	0.5	155	8.904020024770343	0.5741935483870968
189	0	1	0.1957444	0.9712677	0	1	0.34	0.66	0.5	0.5	152	2.820600856423802	0.5131578947368421
190	0	1	0.244054	0.8818496	0	1	0.364	0.636	0.5	0.5	151	0.8604486989904897	0.4701986754966887
191	0	1	0.35208935	0.86998284	0	1	0.358	0.642	0.5	0.5	151	1.6200551383728403	0.4635761589403973
192	0	1	0.113532886	0.9773402	0	1	0.12	0.88	0.5	0.5	149	1.3952977143524077	0.6174496644295302
