chromosome	contig	contig_len
CH_1	1	610061
CH_1	2	426608
CH_1	3	328787
CH_1	4	250484
CH_1	5	217924
CH_1	6	215657
CH_1	7	200315
CH_1	8	197395
CH_1	9	178769
CH_1	10	167846
CH_1	11	153847
CH_1	12	129208
CH_1	13	111397
CH_1	14	107495
CH_1	15	98438
CH_1	16	97607
CH_1	17	90015
CH_1	18	79739
CH_1	19	78707
CH_1	20	78374
CH_1	21	71769
CH_1	22	68107
CH_1	23	65324
CH_1	24	56521
CH_1	25	50813
CH_1	26	50810
CH_1	27	43229
CH_1	28	42189
CH_1	29	41308
CH_1	30	39157
CH_1	32	32904
CH_1	33	32071
CH_1	34	32041
CH_1	35	31246
CH_1	36	30171
CH_1	37	29827
CH_1	38	26336
CH_1	39	23900
CH_1	41	23141
CH_1	42	22844
CH_1	43	22685
CH_1	44	22561
CH_1	45	22481
CH_1	46	20649
CH_1	48	18987
CH_1	50	15091
CH_1	51	14956
CH_1	52	14743
CH_1	53	14257
CH_1	54	12521
CH_1	58	9355
CH_1	59	8780
CH_1	61	7845
CH_1	64	5742
CH_1	65	5568
CH_1	67	5236
CH_1	68	5135
CH_1	69	4919
CH_1	70	4906
CH_1	71	4599
CH_1	72	4213
CH_1	76	2581
CH_1	77	2371
CH_1	80	2128
CH_1	81	2083
CH_1	82	2027
CH_1	83	2006
CH_1	84	1917
CH_1	85	1851
CH_1	86	1765
CH_1	87	1689
CH_1	88	1678
CH_1	89	1635
CH_1	91	1549
CH_1	92	1398
CH_1	94	1351
CH_1	95	1341
CH_1	96	1283
CH_1	97	1248
CH_1	98	1238
CH_1	99	1141
CH_1	100	1135
CH_1	101	1112
CH_1	102	1058
CH_1	103	1019
CH_1	104	1015
CH_1	105	827
CH_1	107	733
CH_1	108	695
CH_1	111	648
CH_1	112	643
CH_1	113	589
CH_1	114	587
CH_1	115	575
CH_1	116	555
CH_1	117	512
CH_1	118	509
CH_1	121	466
CH_1	122	454
CH_1	123	454
CH_1	124	451
CH_1	125	446
CH_1	126	437
CH_1	127	393
CH_1	128	393
CH_1	129	392
CH_1	130	373
CH_1	132	358
CH_1	133	349
CH_1	134	347
CH_1	136	336
CH_1	137	329
CH_1	138	329
CH_1	139	319
CH_1	140	312
CH_1	141	310
CH_1	142	295
CH_1	143	295
CH_1	144	290
CH_1	146	285
CH_1	147	285
CH_1	148	280
CH_1	149	280
CH_1	150	276
CH_1	151	275
CH_1	152	262
CH_1	153	262
CH_1	154	260
CH_1	155	254
CH_1	156	250
CH_1	157	245
CH_1	158	242
CH_1	159	238
CH_1	160	238
CH_1	161	238
CH_1	162	236
CH_1	163	224
CH_1	164	221
CH_1	165	218
CH_1	166	213
CH_1	167	208
CH_1	170	193
CH_1	171	193
CH_1	172	191
CH_1	173	191
CH_1	174	188
CH_1	175	182
CH_1	176	179
CH_1	177	177
CH_1	178	174
CH_1	179	169
CH_1	180	167
CH_1	181	166
CH_1	182	161
CH_1	183	161
CH_1	184	159
CH_1	185	157
CH_1	186	157
CH_1	187	157
CH_1	188	155
CH_1	189	152
CH_1	190	151
CH_1	191	151
CH_1	192	149
CH_1	193	149
CH_1	194	149
CH_1	195	148
CH_1	196	140
CH_1	198	138
CH_1	199	136
CH_1	200	136
CH_1	201	136
CH_1	202	134
CH_1	203	134
CH_1	204	131
CH_1	205	131
CH_1	206	129
CH_1	207	129
CH_1	208	129
CH_1	210	127
CH_1	211	123
CH_1	212	123
CH_1	213	118
CH_1	214	117
CH_1	215	114
CH_1	217	112
CH_1	219	105
CH_1	220	101
CH_1	221	101
CH_1	222	98
CH_1	223	91
CH_1	224	86
CH_1	225	82
CH_1	226	62
CH_1	227	61
CH_1	229	56
CH_1	230	54
CH_1	232	51
CH_1	233	50
CH_1	234	50
CH_1	235	48
CH_1	236	46
CH_1	237	44
CH_1	238	44
CH_1	240	41
CH_1	242	40
CH_1	243	40
CH_1	245	34
CH_1	246	33
CH_1	247	31
CH_1	249	30
CH_1	250	29
CH_1	251	28
