chromosome	contig	contig_len
CH_1	1	452112
CH_1	2	385260
CH_1	3	319987
CH_1	4	235320
CH_1	5	218354
CH_1	6	213995
CH_1	7	210586
CH_1	8	208548
CH_1	9	201671
CH_1	10	195584
CH_1	11	183959
CH_1	12	159046
CH_1	13	150989
CH_1	14	147615
CH_1	15	133907
CH_1	16	108126
CH_1	17	100657
CH_1	18	96111
CH_1	19	94778
CH_1	20	92486
CH_1	21	91732
CH_1	22	86425
CH_1	23	70656
CH_1	24	70423
CH_1	25	49796
CH_1	27	47339
CH_1	28	43596
CH_1	29	41243
CH_1	30	39226
CH_1	31	38007
CH_1	32	34102
CH_1	34	30861
CH_1	35	29680
CH_1	36	26735
CH_1	37	26416
CH_1	39	16367
CH_1	40	15113
CH_1	43	8840
CH_1	47	6535
CH_1	50	5609
CH_1	54	4113
CH_1	60	2219
CH_1	62	2042
CH_1	63	1690
CH_1	64	1685
CH_1	65	1620
CH_1	66	1463
CH_1	67	1388
CH_1	78	867
CH_1	79	838
CH_1	81	714
CH_1	82	600
CH_1	85	510
CH_1	86	501
CH_1	87	491
CH_1	88	461
CH_1	91	398
CH_1	92	398
CH_1	94	382
CH_1	95	373
CH_1	96	356
CH_1	99	331
CH_1	101	296
CH_1	106	256
CH_1	110	245
CH_1	112	241
CH_1	113	239
CH_1	114	215
CH_1	115	212
CH_1	116	211
CH_1	117	210
CH_1	118	195
CH_1	119	194
CH_1	120	189
CH_1	123	184
CH_1	124	184
CH_1	125	181
CH_1	126	175
CH_1	129	162
CH_1	131	157
CH_1	132	156
CH_1	133	156
CH_1	134	153
CH_1	135	152
CH_1	136	151
CH_1	138	140
CH_1	141	133
CH_1	142	132
CH_1	146	129
CH_1	147	128
CH_1	149	123
CH_1	151	113
CH_1	152	113
CH_1	154	110
CH_1	155	102
CH_1	156	100
CH_1	157	82
CH_1	159	82
CH_1	162	76
CH_1	164	73
CH_1	165	72
CH_1	166	69
CH_1	167	65
CH_1	168	65
CH_1	169	64
CH_1	170	63
CH_1	171	63
CH_1	172	63
CH_1	173	63
CH_1	174	63
CH_1	175	63
CH_1	176	61
CH_1	177	61
CH_1	178	59
CH_1	179	58
CH_1	180	58
CH_1	181	58
CH_1	187	43
CH_1	188	43
CH_1	190	37
CH_1	191	34
CH_1	193	28
