chromosome	contig	contig_len
CH_1	1	441430
CH_1	2	385077
CH_1	3	323733
CH_1	4	261033
CH_1	5	260396
CH_1	6	251252
CH_1	7	215018
CH_1	8	190668
CH_1	9	178273
CH_1	10	152162
CH_1	11	150465
CH_1	12	144314
CH_1	13	139758
CH_1	14	107280
CH_1	15	101380
CH_1	16	94627
CH_1	17	89257
CH_1	18	89198
CH_1	19	88521
CH_1	20	77134
CH_1	21	73379
CH_1	22	70529
CH_1	23	68713
CH_1	24	67853
CH_1	25	66267
CH_1	26	65878
CH_1	27	65351
CH_1	29	56330
CH_1	30	56113
CH_1	31	54721
CH_1	32	45405
CH_1	33	43745
CH_1	34	43695
CH_1	35	43238
CH_1	36	39812
CH_1	38	36262
CH_1	39	35767
CH_1	40	35359
CH_1	41	29888
CH_1	42	28376
CH_1	43	27560
CH_1	44	23172
CH_1	45	21914
CH_1	46	20544
CH_1	48	19462
CH_1	49	15968
CH_1	50	15120
CH_1	51	12110
CH_1	52	11728
CH_1	53	10520
CH_1	54	8987
CH_1	55	8265
CH_1	56	6200
CH_1	57	5290
CH_1	58	5171
CH_1	59	5054
CH_1	60	5011
CH_1	61	4760
CH_1	63	3411
CH_1	64	3316
CH_1	65	2874
CH_1	67	1909
CH_1	68	1833
CH_1	69	1589
CH_1	71	1445
CH_1	72	1442
CH_1	73	1430
CH_1	75	1408
CH_1	76	1395
CH_1	77	1295
CH_1	78	1235
CH_1	79	1202
CH_1	80	1201
CH_1	81	1172
CH_1	82	1147
CH_1	83	1141
CH_1	84	1085
CH_1	85	1054
CH_1	86	1046
CH_1	87	989
CH_1	88	989
CH_1	89	946
CH_1	90	946
CH_1	91	911
CH_1	92	903
CH_1	93	872
CH_1	94	804
CH_1	95	794
CH_1	96	764
CH_1	97	760
CH_1	98	730
CH_1	99	728
CH_1	100	699
CH_1	101	699
CH_1	102	667
CH_1	103	613
CH_1	104	598
CH_1	105	586
CH_1	106	585
CH_1	107	585
CH_1	109	574
CH_1	110	548
CH_1	111	545
CH_1	112	542
CH_1	113	539
CH_1	114	502
CH_1	115	489
CH_1	116	485
CH_1	117	479
CH_1	118	468
CH_1	119	461
CH_1	120	454
CH_1	121	429
CH_1	122	425
CH_1	123	406
CH_1	124	402
CH_1	125	394
CH_1	126	393
CH_1	127	389
CH_1	128	388
CH_1	129	387
CH_1	130	377
CH_1	131	368
CH_1	132	368
CH_1	133	364
CH_1	134	345
CH_1	135	344
CH_1	136	334
CH_1	137	328
CH_1	138	328
CH_1	139	328
CH_1	140	325
CH_1	141	325
CH_1	142	312
CH_1	143	311
CH_1	144	310
CH_1	145	284
CH_1	146	281
CH_1	147	278
CH_1	148	266
CH_1	149	260
CH_1	150	260
CH_1	151	260
CH_1	152	260
CH_1	153	257
CH_1	154	257
CH_1	155	250
CH_1	156	243
CH_1	157	243
CH_1	158	231
CH_1	159	229
CH_1	160	229
CH_1	161	224
CH_1	162	223
CH_1	163	223
CH_1	164	222
CH_1	165	217
CH_1	166	209
CH_1	167	208
CH_1	168	208
CH_1	169	207
CH_1	170	207
CH_1	171	207
CH_1	172	205
CH_1	173	205
CH_1	174	203
CH_1	175	202
CH_1	176	201
CH_1	177	200
CH_1	178	199
CH_1	179	199
CH_1	180	196
CH_1	181	195
CH_1	182	189
CH_1	183	188
CH_1	185	187
CH_1	186	186
CH_1	187	186
CH_1	188	184
CH_1	189	184
CH_1	190	184
CH_1	191	183
CH_1	192	182
CH_1	193	181
CH_1	194	176
CH_1	195	175
CH_1	196	173
CH_1	198	169
CH_1	199	168
CH_1	200	168
CH_1	201	168
CH_1	202	166
CH_1	203	163
CH_1	204	162
CH_1	205	162
CH_1	206	157
CH_1	207	157
CH_1	208	155
CH_1	209	154
CH_1	211	154
CH_1	212	153
CH_1	213	152
CH_1	214	149
CH_1	215	147
CH_1	216	146
CH_1	217	146
CH_1	218	146
CH_1	219	146
CH_1	220	145
CH_1	221	144
CH_1	222	143
CH_1	223	143
CH_1	224	140
CH_1	225	140
CH_1	226	139
CH_1	227	138
CH_1	228	137
CH_1	229	135
CH_1	230	135
CH_1	231	134
CH_1	232	131
CH_1	233	131
CH_1	234	131
CH_1	235	129
CH_1	236	128
CH_1	238	126
CH_1	239	122
CH_1	240	116
CH_1	241	112
CH_1	242	112
CH_1	243	111
CH_1	244	107
CH_1	245	107
CH_1	246	102
CH_1	247	100
CH_1	248	93
CH_1	249	92
CH_1	250	91
CH_1	251	91
CH_1	252	91
CH_1	253	91
CH_1	254	89
CH_1	255	88
CH_1	256	88
CH_1	257	86
CH_1	258	79
CH_1	259	76
CH_1	260	74
CH_1	261	68
CH_1	262	61
CH_1	263	59
CH_1	264	50
CH_1	265	49
CH_1	266	49
CH_1	267	49
CH_1	268	42
CH_1	269	41
CH_1	270	41
CH_1	271	41
CH_1	272	40
CH_1	273	40
CH_1	274	36
CH_1	275	36
CH_1	276	35
CH_1	277	35
CH_1	278	34
CH_1	279	34
CH_1	280	34
CH_1	281	33
CH_1	282	33
CH_1	283	30
