chromosome	contig	contig_len
CH_1	1	412757
CH_1	2	385077
CH_1	3	334598
CH_1	4	323733
CH_1	5	251252
CH_1	6	233937
CH_1	7	215018
CH_1	8	190668
CH_1	9	178273
CH_1	10	145308
CH_1	11	144313
CH_1	12	139757
CH_1	13	107280
CH_1	14	106409
CH_1	15	101378
CH_1	16	94627
CH_1	17	89197
CH_1	18	86695
CH_1	19	80835
CH_1	20	70529
CH_1	21	68713
CH_1	22	67853
CH_1	23	66267
CH_1	24	65878
CH_1	26	60110
CH_1	28	56330
CH_1	29	56113
CH_1	30	54720
CH_1	31	50035
CH_1	32	45405
CH_1	33	45115
CH_1	34	43744
CH_1	35	43695
CH_1	36	39812
CH_1	37	36261
CH_1	38	30805
CH_1	39	30586
CH_1	40	29888
CH_1	41	28375
CH_1	42	27559
CH_1	43	26921
CH_1	44	26140
CH_1	45	25925
CH_1	46	23172
CH_1	47	21913
CH_1	48	20544
CH_1	49	19461
CH_1	50	19133
CH_1	51	17135
CH_1	52	15968
CH_1	53	15120
CH_1	54	11728
CH_1	55	10099
CH_1	56	9657
CH_1	57	8986
CH_1	58	8265
CH_1	59	6583
CH_1	60	6569
CH_1	61	6215
CH_1	62	5289
CH_1	63	5171
CH_1	64	5054
CH_1	65	5011
CH_1	66	4760
CH_1	67	4483
CH_1	68	4225
CH_1	69	4027
CH_1	71	3316
CH_1	72	2874
CH_1	73	2368
CH_1	75	1942
CH_1	76	1875
CH_1	77	1833
CH_1	79	1445
CH_1	80	1442
CH_1	81	1430
CH_1	82	1414
CH_1	83	1408
CH_1	84	1408
CH_1	85	1395
CH_1	86	1295
CH_1	87	1235
CH_1	88	1219
CH_1	89	1202
CH_1	90	1201
CH_1	91	1166
CH_1	92	1085
CH_1	93	1054
CH_1	94	1034
CH_1	95	989
CH_1	96	975
CH_1	97	946
CH_1	98	946
CH_1	99	924
CH_1	100	903
CH_1	101	816
CH_1	102	804
CH_1	103	794
CH_1	104	787
CH_1	105	764
CH_1	106	756
CH_1	107	753
CH_1	108	742
CH_1	109	730
CH_1	110	728
CH_1	111	699
CH_1	112	699
CH_1	113	697
CH_1	114	697
CH_1	115	667
CH_1	116	641
CH_1	117	633
CH_1	118	629
CH_1	119	623
CH_1	120	613
CH_1	121	598
CH_1	122	585
CH_1	123	585
CH_1	124	576
CH_1	125	548
CH_1	126	545
CH_1	127	542
CH_1	128	539
CH_1	129	502
CH_1	130	489
CH_1	131	479
CH_1	132	468
CH_1	133	461
CH_1	134	454
CH_1	135	425
CH_1	136	418
CH_1	137	418
CH_1	138	415
CH_1	139	406
CH_1	140	402
CH_1	141	394
CH_1	142	389
CH_1	143	388
CH_1	144	387
CH_1	145	377
CH_1	146	368
CH_1	147	364
CH_1	148	345
CH_1	149	344
CH_1	150	334
CH_1	151	329
CH_1	152	328
CH_1	153	328
CH_1	154	328
CH_1	155	325
CH_1	156	325
CH_1	157	312
CH_1	158	311
CH_1	159	310
CH_1	160	304
CH_1	161	304
CH_1	162	296
CH_1	163	295
CH_1	164	292
CH_1	165	284
CH_1	166	281
CH_1	167	280
CH_1	168	279
CH_1	169	279
CH_1	170	266
CH_1	171	266
CH_1	172	260
CH_1	173	260
CH_1	174	260
CH_1	175	259
CH_1	176	257
CH_1	177	257
CH_1	178	255
CH_1	179	255
CH_1	180	254
CH_1	181	249
CH_1	182	243
CH_1	183	242
CH_1	184	231
CH_1	185	229
CH_1	186	229
CH_1	187	229
CH_1	188	226
CH_1	189	225
CH_1	190	223
CH_1	191	223
CH_1	192	222
CH_1	193	219
CH_1	194	218
CH_1	195	212
CH_1	196	209
CH_1	197	208
CH_1	198	208
CH_1	199	207
CH_1	200	207
CH_1	201	207
CH_1	202	205
CH_1	203	204
CH_1	204	203
CH_1	205	202
CH_1	206	202
CH_1	207	200
CH_1	208	199
CH_1	209	199
CH_1	210	196
CH_1	211	195
CH_1	212	189
CH_1	213	188
CH_1	214	187
CH_1	215	187
CH_1	216	186
CH_1	217	186
CH_1	218	184
CH_1	219	184
CH_1	220	184
CH_1	221	183
CH_1	222	182
CH_1	223	181
CH_1	224	180
CH_1	225	179
CH_1	226	179
CH_1	227	177
CH_1	228	176
CH_1	229	175
CH_1	230	174
CH_1	231	173
CH_1	232	169
CH_1	233	169
CH_1	234	169
CH_1	235	168
CH_1	236	167
CH_1	237	166
CH_1	238	163
CH_1	239	163
CH_1	240	162
CH_1	241	162
CH_1	242	159
CH_1	243	157
CH_1	244	157
CH_1	245	156
CH_1	246	155
CH_1	247	155
CH_1	248	154
CH_1	249	154
CH_1	250	154
CH_1	251	153
CH_1	252	153
CH_1	253	153
CH_1	254	152
CH_1	255	149
CH_1	256	147
CH_1	257	146
CH_1	258	146
CH_1	259	146
CH_1	260	146
CH_1	261	145
CH_1	262	144
CH_1	263	143
CH_1	264	143
CH_1	265	141
CH_1	266	140
CH_1	267	140
CH_1	268	139
CH_1	269	139
CH_1	270	139
CH_1	271	138
CH_1	272	138
CH_1	273	138
CH_1	274	137
CH_1	275	137
CH_1	276	136
CH_1	277	135
CH_1	278	134
CH_1	279	131
CH_1	280	131
CH_1	281	131
CH_1	282	131
CH_1	283	128
CH_1	284	128
CH_1	286	125
CH_1	287	122
CH_1	288	118
CH_1	289	118
CH_1	290	118
CH_1	291	112
CH_1	292	112
CH_1	293	111
CH_1	294	107
CH_1	295	107
CH_1	296	105
CH_1	297	101
CH_1	298	92
CH_1	299	92
CH_1	300	92
CH_1	301	91
CH_1	302	91
CH_1	303	91
CH_1	304	91
CH_1	305	89
CH_1	306	88
CH_1	307	88
CH_1	308	86
CH_1	309	79
CH_1	310	77
CH_1	311	74
CH_1	312	71
CH_1	313	70
CH_1	314	68
CH_1	315	59
CH_1	316	56
CH_1	317	56
CH_1	318	56
CH_1	319	56
CH_1	320	50
CH_1	321	49
CH_1	322	49
CH_1	323	49
CH_1	324	43
CH_1	325	43
CH_1	326	42
CH_1	327	41
CH_1	328	41
CH_1	329	41
CH_1	330	40
CH_1	331	40
CH_1	332	37
CH_1	333	36
CH_1	334	35
CH_1	335	35
CH_1	336	34
CH_1	337	34
CH_1	338	34
CH_1	339	33
CH_1	340	33
CH_1	341	30
