plasmid	contig	contig_len

GT_2	23	75230
GT_2	62	13998
GT_2	99	2360
GT_2	122	905
GT_2	137	618
GT_2	160	439
GT_2	225	226
GT_2	252	180
GT_2	260	163
GT_2	284	138
GT_2	303	124
GT_2	310	123
GT_2	344	102
GT_2	345	102
GT_2	346	100
GT_2	381	70
GT_2	421	45
GT_2	422	42
GT_2	423	42
GT_2	428	37
GT_2	431	34

GT_3	38	52587
GT_3	65	10888
GT_3	87	4943
GT_3	171	355
GT_3	174	346
GT_3	182	311
GT_3	185	307
GT_3	270	150
GT_3	327	111
GT_3	336	107
GT_3	416	48
GT_3	417	48
GT_3	418	48
GT_3	419	48
GT_3	420	47

GT_4	60	15928
GT_4	109	1341

GT_5	82	5569

GT_6	83	5386

GT_7	100	2089

